epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84983,0.82226,3.33871,0.97716,0.16924,1,0.4975,0.44775,0.55834,2.19629,0.80866,0,0,0
2,2.5689,0.44498,2.88914,0.86388,0.08679,1,0.33167,0.2985,0.55269,2.18666,0.80603,1.9802e-05,1.9802e-05,1.9802e-05
3,3.04276,0.41534,2.69883,0.8614,0.13461,1,0.33167,0.2985,0.55224,2.17991,0.80355,3.9208e-05,3.9208e-05,3.9208e-05
4,3.53317,0.36581,2.66311,0.83219,0.18257,1,0.33167,0.2985,0.5505,2.16611,0.80065,5.8218e-05,5.8218e-05,5.8218e-05
5,3.9778,0.63377,3.39959,1.08201,0.1833,1,0.33167,0.2985,0.54745,2.14835,0.799,7.6832e-05,7.6832e-05,7.6832e-05
6,4.50062,0.35024,4.47641,0.95936,0.97049,1,0.995,0.8955,0.6004,0.77266,0.82673,9.505e-05,9.505e-05,9.505e-05
7,5.68997,0.29676,1.12806,0.87247,0.94783,1,0.995,0.8955,0.49674,1.09361,0.78479,0.000112872,0.000112872,0.000112872
8,6.69283,0.26521,1.12671,0.72962,1,1,0.995,0.995,0.34857,0.9457,0.73016,0.000130298,0.000130298,0.000130298
9,7.70067,0.31518,0.72553,0.85028,1,1,0.995,0.995,0.34961,1.31014,0.68823,0.000147328,0.000147328,0.000147328
10,8.74612,0.27538,0.58869,0.83934,0.96667,1,0.995,0.995,0.33132,0.82416,0.6784,0.000163962,0.000163962,0.000163962
11,9.76044,0.34984,1.31317,0.94504,1,1,0.995,0.8955,0.35061,1.07791,0.68979,0.0001802,0.0001802,0.0001802
12,10.7151,0.52815,1.11167,0.95675,1,1,0.995,0.8955,0.36279,0.97198,0.69375,0.000196042,0.000196042,0.000196042
13,11.5953,0.39181,0.75794,0.89176,0.96959,1,0.995,0.995,0.31938,0.502,0.70382,0.000211488,0.000211488,0.000211488
14,12.5998,0.34644,0.74194,0.87418,0.96124,1,0.995,0.995,0.3253,0.6347,0.70801,0.000226538,0.000226538,0.000226538
15,13.59,0.35878,0.57808,0.86383,0.93886,1,0.995,0.995,0.35569,0.63458,0.7183,0.000241192,0.000241192,0.000241192
16,14.5803,0.43462,0.63186,0.86252,0.12562,1,0.199,0.1791,0.45297,2.57133,0.74647,0.00025545,0.00025545,0.00025545
17,15.4818,0.44242,0.64655,0.82031,0.07519,1,0.07654,0.06888,0.60131,11.447,0.81017,0.000269312,0.000269312,0.000269312
18,16.5404,0.31855,0.66067,0.85517,0.07519,1,0.07654,0.06888,0.60131,11.447,0.81017,0.000282778,0.000282778,0.000282778
19,17.4277,0.39031,0.67333,0.92655,0.09077,1,0.0995,0.08955,0.58224,11.0322,0.81458,0.000295848,0.000295848,0.000295848
20,18.2544,0.37169,0.4461,0.76577,0.09077,1,0.0995,0.08955,0.58224,11.0322,0.81458,0.000308522,0.000308522,0.000308522
